iterations, matrix_dim, etime, flops
3488, 2048, 2.515495, 29079231626.379700
3488, 2048, 1.626223, 44980707910.292747
3488, 2048, 1.847134, 39601166867.157440
3488, 2048, 1.832896, 39908790111.386574
3488, 2048, 2.274843, 32155476997.753250
3488, 2048, 1.576928, 46386811420.686302
3488, 2048, 1.674863, 43674415017.825340
3488, 2048, 1.846830, 39607685471.862595
3488, 2048, 1.738248, 42081832833.979958
3488, 2048, 1.780999, 41071702881.360405
3488, 2048, 1.904774, 38402803566.197357
3488, 2048, 2.766005, 26445599975.415810
3488, 2048, 1.701637, 42987230390.500443
3488, 2048, 1.926226, 37975119098.174355
3488, 2048, 1.820430, 40182078827.529762
3488, 2048, 2.087308, 35044498349.069710
3488, 2048, 1.665265, 43926138938.847572
3488, 2048, 2.025132, 36120441413.201706
3488, 2048, 1.740006, 42039315818.451202
3488, 2048, 1.784874, 40982535327.423668
3488, 2048, 1.656506, 44158404352.293320
3488, 2048, 1.888876, 38726026356.415138
3488, 2048, 1.690886, 43260552018.291008
3488, 2048, 1.563942, 46771978602.787064
3488, 2048, 1.609942, 45435588213.736893
3488, 2048, 1.659780, 44071299666.220825
3488, 2048, 1.895482, 38591061144.342178
3488, 2048, 1.830042, 39971028949.062370
3488, 2048, 2.624692, 27869426873.705563
3488, 2048, 1.702093, 42975713876.973816
3488, 2048, 2.351832, 31102843128.250660
3488, 2048, 1.705947, 42878625045.209496
3488, 2048, 1.680802, 43520094431.110863
3488, 2048, 2.187151, 33444724099.982121
3488, 2048, 1.958966, 37340444785.667542
3488, 2048, 2.657286, 27527583316.210598
3488, 2048, 2.192819, 33358276155.031490
3488, 2048, 2.039786, 35860949021.122803
3488, 2048, 1.901076, 38477505244.398438
3488, 2048, 2.258756, 32384490294.657768
3488, 2048, 3.491522, 20950365416.571915
3488, 2048, 2.501933, 29236858764.803051
3488, 2048, 2.100327, 34827272972.256226
3488, 2048, 1.776935, 41165637324.944359
3488, 2048, 1.690049, 43281976889.427467
3488, 2048, 1.855348, 39425844510.032616
3488, 2048, 1.809943, 40414898016.125374
3488, 2048, 1.850161, 39536376434.267075
3488, 2048, 1.719041, 42552016944.331169
3488, 2048, 1.886289, 38779138170.237968
3488, 2048, 1.717021, 42602077528.463547
3488, 2048, 1.632191, 44816238883.807106
3488, 2048, 1.913716, 38223363215.858574
3488, 2048, 2.608475, 28042692285.722504
3488, 2048, 1.804901, 40527797236.524330
3488, 2048, 2.524067, 28980475462.814575
3488, 2048, 2.240684, 32645683978.642239
3488, 2048, 2.091433, 34975378967.435249
3488, 2048, 1.756314, 41648965822.740128
3488, 2048, 3.370255, 21704192044.815601
3488, 2048, 2.363791, 30945486195.691582
3488, 2048, 2.143332, 34128479283.657410
3488, 2048, 2.683138, 27262355406.244480
3488, 2048, 2.324016, 31475111083.572575
3488, 2048, 1.805407, 40516438542.666557
3488, 2048, 1.877603, 38958534770.129791
3488, 2048, 1.925298, 37993423231.105003
3488, 2048, 1.837389, 39811200437.142052
3488, 2048, 2.234666, 32733599455.131104
3488, 2048, 1.680300, 43533096328.036659
3488, 2048, 1.800911, 40617588409.421677
3488, 2048, 1.874642, 39020069837.334274
3488, 2048, 1.634581, 44750710891.659698
3488, 2048, 1.964733, 37230840913.243683
3488, 2048, 2.114435, 34594897341.370155
3488, 2048, 1.847309, 39597415353.901276
3488, 2048, 1.844659, 39654300203.994339
3488, 2048, 2.179893, 33556079018.557335
3488, 2048, 1.650751, 44312353443.977921
3488, 2048, 1.775983, 41187703801.218819
3488, 2048, 1.708811, 42806759647.497589
3488, 2048, 2.243338, 32607062226.022114
3488, 2048, 1.702722, 42959838282.467720
3488, 2048, 2.052462, 35639471892.780479
3488, 2048, 2.140858, 34167918544.807735
3488, 2048, 1.877605, 38958493272.014084
3488, 2048, 1.676055, 43643354042.677597
3488, 2048, 1.919457, 38109039045.938515
3488, 2048, 1.704442, 42916486310.475807
3488, 2048, 1.857094, 39388777175.522614
3488, 2048, 1.804443, 40538083918.416931
3488, 2048, 1.972063, 37092456863.700607
3488, 2048, 2.043803, 35790465989.138878
3488, 2048, 1.827762, 40020889897.043488
3488, 2048, 1.723203, 42449242346.955055
3488, 2048, 1.996161, 36644670324.688240
3488, 2048, 1.715388, 42642633480.005692
3488, 2048, 1.620200, 45147921096.160973
3488, 2048, 1.622852, 45074142164.535027
3488, 2048, 2.163131, 33816103490.727100
