iterations, matrix_dim, etime, flops, cores
3573, 8192, 109.290500, 10969845095.044859, 28
3573, 8192, 108.623445, 11037210754.639572, 28
3573, 8192, 113.967876, 10519629718.816555, 28
3573, 8192, 111.404877, 10761646057.559940, 28
3573, 8192, 110.238914, 10875468669.439178, 28
3573, 8192, 111.854579, 10718379757.703079, 28
3573, 8192, 109.076594, 10991357645.069115, 28
3573, 8192, 108.414699, 11058462241.914263, 28
3573, 8192, 109.300926, 10968798703.132669, 28
3573, 8192, 111.168507, 10784527810.200779, 28
3573, 8192, 109.862612, 10912719382.277203, 28
3573, 8192, 111.058834, 10795177764.607182, 28
3573, 8192, 119.304506, 10049074385.840883, 28
3573, 8192, 108.169698, 11083509314.780560, 28
3573, 8192, 109.732478, 10925661000.383131, 28
3573, 8192, 109.354466, 10963428373.926676, 28
3573, 8192, 108.893661, 11009822283.043638, 28
3573, 8192, 108.353894, 11064667923.794230, 28
3573, 8192, 108.019544, 11098916093.924633, 28
3573, 8192, 112.817767, 10626870990.630404, 28
3573, 8192, 109.342241, 10964654139.108051, 28
