iterations, matrix_dim, etime, flops, cores
3376, 1024, 0.762455, 23214436104.425835, 10
3376, 1024, 0.708708, 24974972598.023445, 10
3376, 1024, 0.782234, 22627452757.103374, 10
3376, 1024, 0.726494, 24363536216.403717, 10
3376, 1024, 0.762420, 23215501796.909840, 10
3376, 1024, 0.773488, 22883306373.208118, 10
3376, 1024, 0.750409, 23587087681.517681, 10
3376, 1024, 0.778677, 22730815061.957657, 10
3376, 1024, 0.715544, 24736372438.312672, 10
3376, 1024, 0.754951, 23445181051.485462, 10
3376, 1024, 0.660393, 26802166104.122849, 11
3376, 1024, 0.667101, 26532658293.122032, 11
3376, 1024, 0.702312, 25202421260.066753, 11
3376, 1024, 0.687538, 25743977612.873760, 11
3376, 1024, 0.679610, 26044294345.286270, 11
3376, 1024, 0.674715, 26233243487.991226, 11
3376, 1024, 0.727840, 24318480545.174767, 11
3376, 1024, 0.670106, 26413676164.666485, 11
3376, 1024, 0.704737, 25115699729.118809, 11
3376, 1024, 0.688544, 25706364270.112007, 11
3376, 1024, 0.648922, 27275948234.148327, 12
3376, 1024, 0.625782, 28284550977.816559, 12
3376, 1024, 0.621901, 28461061937.510956, 12
3376, 1024, 0.660524, 26796850500.511715, 12
3376, 1024, 0.615737, 28745979013.767242, 12
3376, 1024, 0.643005, 27526944393.900517, 12
3376, 1024, 0.662577, 26713820250.325623, 12
3376, 1024, 0.628447, 28164607166.555016, 12
3376, 1024, 0.609376, 29046045265.977005, 12
3376, 1024, 0.645015, 27441164748.106632, 12
3376, 1024, 0.571618, 30964670251.811527, 13
3376, 1024, 0.596945, 29650910686.914207, 13
3376, 1024, 0.581760, 30424853685.368538, 13
3376, 1024, 0.615240, 28769200442.103893, 13
3376, 1024, 0.587825, 30110939276.145115, 13
3376, 1024, 0.621054, 28499877434.168365, 13
3376, 1024, 0.599206, 29539028113.870689, 13
3376, 1024, 0.602051, 29399441044.031155, 13
3376, 1024, 0.620755, 28513605013.249996, 13
3376, 1024, 0.582182, 30402799949.156796, 13
3376, 1024, 0.532381, 33246796711.377754, 14
3376, 1024, 0.553735, 31964681445.095581, 14
3376, 1024, 0.511688, 34591319085.067459, 14
3376, 1024, 0.562048, 31491906171.714870, 14
3376, 1024, 0.531239, 33318267070.000507, 14
3376, 1024, 0.567234, 31203987913.277412, 14
3376, 1024, 0.521859, 33917136391.247448, 14
3376, 1024, 0.596596, 29668256039.262749, 14
3376, 1024, 0.564027, 31381410606.229847, 14
3376, 1024, 0.539858, 32786330627.683578, 14
3376, 1024, 0.541515, 32686006629.548584, 15
3376, 1024, 0.526043, 33647368903.302586, 15
3376, 1024, 0.534268, 33129371177.012287, 15
3376, 1024, 0.527365, 33563021588.463402, 15
3376, 1024, 0.510097, 34699209914.976952, 15
3376, 1024, 0.555657, 31854116622.304771, 15
3376, 1024, 0.529944, 33399685400.721588, 15
3376, 1024, 0.541306, 32698626802.584862, 15
3376, 1024, 0.537383, 32937333112.510075, 15
3376, 1024, 0.534794, 33096786575.765621, 15
3376, 1024, 0.517745, 34186641841.060753, 16
3376, 1024, 0.482900, 36653474591.012634, 16
3376, 1024, 0.523262, 33826195825.418240, 16
3376, 1024, 0.458218, 38627820993.500916, 16
3376, 1024, 0.503908, 35125385745.016945, 16
3376, 1024, 0.509315, 34752486928.521645, 16
3376, 1024, 0.490634, 36075695691.696869, 16
3376, 1024, 0.541319, 32697841531.518383, 16
3376, 1024, 0.474013, 37340669728.467369, 16
3376, 1024, 0.494193, 35815891524.161613, 16
3376, 1024, 0.479460, 36916453677.053352, 17
