iterations, matrix_dim, etime, flops, cores
3376, 1024, 0.360121, 49150043679.763191, 28
3376, 1024, 0.364049, 48619726685.144035, 28
3376, 1024, 0.361316, 48987487075.025742, 28
3376, 1024, 0.368918, 47978040865.449776, 28
3376, 1024, 0.371762, 47611006181.374107, 28
3376, 1024, 0.350667, 50475131335.426483, 28
3376, 1024, 0.385071, 45965452812.598198, 28
3376, 1024, 0.403834, 43829798580.604904, 28
3376, 1024, 0.391317, 45231775977.021194, 28
3376, 1024, 0.399292, 44328368412.089401, 28
3376, 1024, 0.400311, 44215529625.716011, 28
3376, 1024, 0.373379, 47404816232.300163, 28
3376, 1024, 0.396573, 44632294382.118805, 28
3376, 1024, 0.402004, 44029320305.270599, 28
3376, 1024, 0.402232, 44004362855.267609, 28
3376, 1024, 0.405915, 43605096830.617249, 28
3376, 1024, 0.396417, 44649858305.773972, 28
3376, 1024, 0.401839, 44047399281.801918, 28
3376, 1024, 0.398032, 44468693170.398361, 28
3376, 1024, 0.410285, 43140653155.733215, 28
3376, 1024, 0.413694, 42785157338.515907, 28
3376, 1024, 0.402159, 44012350537.971298, 28
3376, 1024, 0.394369, 44881729750.563560, 28
3376, 1024, 0.397947, 44478191517.965958, 28
3376, 1024, 0.380062, 46571251216.906723, 28
3376, 1024, 0.396734, 44614181995.997322, 28
3376, 1024, 0.372935, 47461254320.457993, 28
3376, 1024, 0.392043, 45148014069.885193, 28
3376, 1024, 0.401047, 44134385446.094849, 28
3376, 1024, 0.394095, 44912934393.991302, 28
3376, 1024, 0.401462, 44088762772.068092, 28
3376, 1024, 0.393259, 45008411454.029030, 28
3376, 1024, 0.358541, 49366635559.113182, 28
3376, 1024, 0.384703, 46009422541.545044, 28
3376, 1024, 0.400570, 44186940809.346680, 28
3376, 1024, 0.385148, 45956263254.644966, 28
3376, 1024, 0.392474, 45098434240.229927, 28
3376, 1024, 0.392024, 45150202232.516380, 28
3376, 1024, 0.399566, 44297970497.990318, 28
3376, 1024, 0.391022, 45265900332.973595, 28
3376, 1024, 0.400254, 44221826340.273926, 28
3376, 1024, 0.390548, 45320838616.508087, 28
3376, 1024, 0.379704, 46615160440.764389, 28
3376, 1024, 0.375358, 47154883817.582153, 28
3376, 1024, 0.397941, 44478862142.880478, 28
3376, 1024, 0.390610, 45313645016.768646, 28
3376, 1024, 0.397042, 44579573143.395409, 28
3376, 1024, 0.373457, 47394915291.452568, 28
3376, 1024, 0.402851, 43936748028.427391, 28
3376, 1024, 0.405148, 43687647180.783318, 28
