iterations, matrix_dim, etime, flops
3488, 2048, 1.588382, 46052310942.833649
3488, 2048, 1.730633, 42266998121.496590
3488, 2048, 2.019961, 36212907952.183235
3488, 2048, 1.581174, 46262246760.951035
3488, 2048, 1.744313, 41935513729.474014
3488, 2048, 2.739013, 26706211967.595627
3488, 2048, 1.717971, 42578519520.993080
3488, 2048, 2.022967, 36159097879.500755
3488, 2048, 1.562819, 46805587697.615654
3488, 2048, 1.679893, 43543643410.621986
3488, 2048, 1.834128, 39881983024.085564
3488, 2048, 1.632013, 44821126890.533348
3488, 2048, 2.131008, 34325850376.910831
3488, 2048, 1.638586, 44641332075.338127
3488, 2048, 1.951106, 37490870183.372917
3488, 2048, 1.704235, 42921699037.984787
3488, 2048, 1.838795, 39780759551.771675
3488, 2048, 1.945427, 37600311787.592133
3488, 2048, 1.749025, 41822536418.861938
3488, 2048, 1.620755, 45132460958.010315
3488, 2048, 1.737134, 42108819331.151199
3488, 2048, 1.639334, 44620963000.828384
3488, 2048, 2.285333, 32007878834.288044
3488, 2048, 1.879726, 38914534224.668915
3488, 2048, 1.754684, 41687655304.316902
3488, 2048, 1.740536, 42026514682.833336
3488, 2048, 1.741002, 42015265783.726845
3488, 2048, 1.788509, 40899241636.469261
3488, 2048, 1.779244, 41112214940.727631
3488, 2048, 1.814192, 40320242708.599754
3488, 2048, 1.723668, 42437790665.023659
3488, 2048, 1.601347, 45679457206.963882
3488, 2048, 1.566750, 46688151753.630127
3488, 2048, 1.898588, 38527927997.016731
3488, 2048, 2.090393, 34992779711.757545
3488, 2048, 1.729319, 42299114136.836525
3488, 2048, 1.670780, 43781145189.671890
3488, 2048, 1.923400, 38030914921.493187
3488, 2048, 2.064571, 35430441365.300591
3488, 2048, 1.970151, 37128454499.172905
3488, 2048, 1.912563, 38246406398.116035
3488, 2048, 1.672716, 43730472931.448021
3488, 2048, 1.594229, 45883409321.998283
3488, 2048, 1.667327, 43871815042.880013
3488, 2048, 1.636121, 44708589254.706711
3488, 2048, 1.893573, 38629966608.100136
3488, 2048, 2.410564, 30345040314.216923
3488, 2048, 1.899417, 38511112493.991577
3488, 2048, 1.651987, 44279199388.372917
3488, 2048, 1.799332, 40653232288.427040
3488, 2048, 1.680951, 43516236796.908417
3488, 2048, 1.922700, 38044760888.334114
3488, 2048, 1.809197, 40431562599.318924
3488, 2048, 2.697117, 27121056209.278278
3488, 2048, 1.583546, 46192950353.194672
3488, 2048, 1.933617, 37829964134.572670
3488, 2048, 1.589273, 46026492465.422874
3488, 2048, 1.805296, 40518929726.759491
3488, 2048, 2.109724, 34672147522.614334
3488, 2048, 1.939743, 37710491420.770691
3488, 2048, 1.832321, 39921313874.588570
3488, 2048, 1.876550, 38980395811.462524
3488, 2048, 2.016589, 36273460660.551056
3488, 2048, 1.662955, 43987156453.421768
3488, 2048, 1.984590, 36858324268.488708
3488, 2048, 1.975890, 37020614386.428398
3488, 2048, 1.881257, 38882864892.994415
3488, 2048, 1.757832, 41612999285.483482
3488, 2048, 1.830013, 39971662365.240028
3488, 2048, 1.672061, 43747603562.310226
3488, 2048, 1.759462, 41574448189.276047
3488, 2048, 1.857179, 39386974416.574821
3488, 2048, 2.068003, 35371641994.716644
3488, 2048, 2.158023, 33896145573.981369
3488, 2048, 2.045353, 35763343422.871262
3488, 2048, 2.416670, 30268370013.282742
3488, 2048, 1.989436, 36768542320.537079
3488, 2048, 1.864276, 39237034516.348434
3488, 2048, 1.655625, 44181902157.795395
3488, 2048, 1.864896, 39223989841.792786
3488, 2048, 1.774284, 41227143884.519051
3488, 2048, 1.968600, 37157706877.984360
3488, 2048, 2.296770, 31848492343.595570
3488, 2048, 2.445911, 29906509991.573689
3488, 2048, 1.768221, 41368506402.763000
3488, 2048, 1.775038, 41209631433.242561
3488, 2048, 1.929344, 37913747760.896973
3488, 2048, 1.659507, 44078549689.757256
3488, 2048, 1.934899, 37804899253.139313
3488, 2048, 1.624642, 45024480322.434113
3488, 2048, 1.832991, 39906721724.220139
3488, 2048, 1.779263, 41111775920.704247
3488, 2048, 1.739693, 42046879397.686836
3488, 2048, 1.600632, 45699862154.448990
3488, 2048, 2.815647, 25979343916.336105
3488, 2048, 2.750185, 26597724065.835571
3488, 2048, 2.651943, 27583044492.283581
3488, 2048, 2.324423, 31469599879.195827
3488, 2048, 2.358817, 31010740451.675564
3488, 2048, 1.934304, 37816528198.256325
