iterations, matrix_dim, etime, flops, cores
3488, 2048, 7.139970, 10244953656.668026, 9
3488, 2048, 6.226202, 11748520488.092098, 9
3488, 2048, 5.460877, 13395039251.021402, 9
3488, 2048, 6.869734, 10647961298.064816, 9
3488, 2048, 5.618112, 13020150142.966179, 9
3488, 2048, 5.677109, 12884843634.321625, 9
3488, 2048, 6.344338, 11529754839.669640, 9
3488, 2048, 5.815212, 12578846955.192692, 9
3488, 2048, 5.739320, 12745179178.021090, 9
3488, 2048, 5.479441, 13349657704.134418, 9
3488, 2048, 5.825396, 12556856522.715366, 8
3488, 2048, 6.265350, 11675111807.002003, 8
3488, 2048, 6.597766, 11086883311.714905, 8
3488, 2048, 5.584371, 13098818427.357351, 8
3488, 2048, 6.974182, 10488493383.166656, 8
3488, 2048, 5.572174, 13127490591.643404, 8
3488, 2048, 6.386595, 11453468046.744783, 8
3488, 2048, 6.211767, 11775821881.277905, 8
3488, 2048, 6.702254, 10914039032.241989, 8
3488, 2048, 6.348774, 11521698797.279602, 8
3488, 2048, 6.946995, 10529540003.987335, 7
3488, 2048, 6.221269, 11757836184.225437, 7
3488, 2048, 7.368629, 9927038226.514050, 7
3488, 2048, 7.865305, 9300168494.419479, 7
3488, 2048, 7.853261, 9314431515.774149, 7
3488, 2048, 7.119130, 10274943955.230484, 7
3488, 2048, 7.225429, 10123781129.120499, 7
3488, 2048, 7.237869, 10106381002.474623, 7
3488, 2048, 6.700226, 10917342453.821707, 7
3488, 2048, 7.262674, 10071863580.824364, 7
3488, 2048, 9.096392, 8041502802.429799, 6
3488, 2048, 7.673695, 9532391078.873997, 6
3488, 2048, 7.984444, 9161397056.576513, 6
3488, 2048, 8.868114, 8248502642.162696, 6
3488, 2048, 7.228841, 10119002722.566452, 6
3488, 2048, 7.527150, 9717975828.832958, 6
3488, 2048, 8.760587, 8349744344.756807, 6
3488, 2048, 8.360854, 8748946191.381886, 6
3488, 2048, 7.419639, 9858789862.956944, 6
3488, 2048, 7.541563, 9699403394.230082, 6
3488, 2048, 9.714677, 7529706006.694818, 5
3488, 2048, 9.819487, 7449336381.829315, 5
3488, 2048, 9.648147, 7581628032.823298, 5
3488, 2048, 9.391228, 7789041194.612675, 5
3488, 2048, 9.717661, 7527393861.547547, 5
3488, 2048, 10.151159, 7205941879.148973, 5
3488, 2048, 10.280732, 7115121934.897243, 5
3488, 2048, 9.806466, 7459227591.264784, 5
3488, 2048, 9.857994, 7420238007.854337, 5
3488, 2048, 9.366195, 7809858940.583663, 5
3488, 2048, 11.978292, 6106768958.379041, 4
3488, 2048, 11.827499, 6184626332.244882, 4
3488, 2048, 10.566898, 6922434735.340494, 4
3488, 2048, 9.215465, 7937598565.020864, 4
3488, 2048, 9.332945, 7837682720.727487, 4
3488, 2048, 10.838358, 6749053847.455491, 4
3488, 2048, 9.914598, 7377874701.525972, 4
3488, 2048, 10.882538, 6721654614.024779, 4
3488, 2048, 9.986435, 7324802270.279634, 4
3488, 2048, 11.606457, 6302410956.246165, 4
3488, 2048, 17.354497, 4214968705.805764, 3
3488, 2048, 17.363783, 4212714577.232392, 3
3488, 2048, 17.129427, 4270350768.884447, 3
3488, 2048, 17.198756, 4253136782.683585, 3
3488, 2048, 16.491173, 4435625152.922718, 3
3488, 2048, 16.524224, 4426753217.579234, 3
3488, 2048, 16.445218, 4448020194.077086, 3
3488, 2048, 16.658064, 4391186260.300117, 3
3488, 2048, 17.603296, 4155395771.337368, 3
3488, 2048, 16.876251, 4334414187.131965, 3
3488, 2048, 20.841337, 3509787388.400274, 2
3488, 2048, 18.927768, 3864621637.374253, 2
3488, 2048, 19.616240, 3728984849.288141, 2
3488, 2048, 18.271934, 4003334390.327811, 2
3488, 2048, 18.645189, 3923192291.587927, 2
3488, 2048, 18.012618, 4060967803.791764, 2
3488, 2048, 18.497990, 3954411358.207026, 2
3488, 2048, 19.756251, 3702557826.381129, 2
3488, 2048, 19.016999, 3846488174.080464, 2
3488, 2048, 16.975049, 4309187075.689737, 2
3488, 2048, 2.183336, 33503162939.648315, 28
3488, 2048, 1.982787, 36891840505.308945, 28
3488, 2048, 2.346831, 31169122003.246082, 28
3488, 2048, 2.150288, 34018076536.724380, 28
3488, 2048, 1.826428, 40050120650.800362, 28
3488, 2048, 2.234954, 32729381347.446075, 28
3488, 2048, 2.009282, 36405373541.394394, 28
3488, 2048, 3.221011, 22709845374.635479, 28
3488, 2048, 1.777645, 41149195570.544174, 28
3488, 2048, 2.132569, 34300724506.452076, 28
3488, 2048, 2.156126, 33925968037.118423, 27
3488, 2048, 1.808026, 40457748815.559067, 27
3488, 2048, 2.058866, 35528617093.098824, 27
3488, 2048, 1.912408, 38249506255.987221, 27
3488, 2048, 1.857713, 39375652622.337250, 27
3488, 2048, 2.045171, 35766526006.871803, 27
3488, 2048, 1.854691, 39439810599.177979, 27
3488, 2048, 1.824995, 40081568311.146057, 27
3488, 2048, 2.506462, 29184029823.711670, 27
3488, 2048, 1.904306, 38412241393.977646, 27
3488, 2048, 1.914422, 38209267214.856491, 26
3488, 2048, 1.844462, 39658535529.601585, 26
3488, 2048, 1.997791, 36614771895.558647, 26
3488, 2048, 2.079259, 35180158777.718407, 26
3488, 2048, 3.202853, 22838594765.354511, 26
3488, 2048, 2.075952, 35236200914.086647, 26
3488, 2048, 1.924208, 38014945245.004700, 26
3488, 2048, 2.258551, 32387429710.464806, 26
3488, 2048, 1.820909, 40171508713.505180, 26
3488, 2048, 2.456522, 29777328173.735062, 26
3488, 2048, 2.100676, 34821486873.749214, 25
3488, 2048, 2.387222, 30641750855.178112, 25
3488, 2048, 2.027815, 36072650493.264923, 25
3488, 2048, 2.627978, 27834579193.585331, 25
3488, 2048, 2.309421, 31674026416.145000, 25
3488, 2048, 2.020358, 36205792121.990265, 25
3488, 2048, 2.036544, 35918036516.765656, 25
3488, 2048, 2.094233, 34928616710.748039, 25
3488, 2048, 2.195348, 33319848042.314930, 25
3488, 2048, 2.074556, 35259911884.759926, 25
3488, 2048, 2.272336, 32190953168.897556, 24
3488, 2048, 2.434495, 30046749638.015274, 24
3488, 2048, 2.073194, 35283076142.416000, 24
3488, 2048, 2.505328, 29197239547.077271, 24
3488, 2048, 1.933685, 37828633805.402641, 24
3488, 2048, 2.285657, 32003341603.748943, 24
3488, 2048, 2.189059, 33415573431.323689, 24
3488, 2048, 2.053204, 35626592272.370399, 24
3488, 2048, 2.042245, 35817770032.488762, 24
3488, 2048, 2.519067, 29037997703.117859, 24
3488, 2048, 2.206230, 33155501357.519386, 23
3488, 2048, 2.127738, 34378603831.862762, 23
3488, 2048, 2.239974, 32656031614.652668, 23
3488, 2048, 2.236829, 32701946264.108696, 23
3488, 2048, 2.062938, 35458487729.636086, 23
3488, 2048, 2.518193, 29048076045.005287, 23
3488, 2048, 2.082670, 35122540661.746704, 23
3488, 2048, 2.116238, 34565423057.330978, 23
3488, 2048, 2.093442, 34941814370.782661, 23
3488, 2048, 2.606453, 28064446878.574062, 23
3488, 2048, 2.526647, 28950883031.939167, 22
