iterations, matrix_dim, etime, flops
3488, 2048, 1.633229, 44787755887.263817
3488, 2048, 2.234446, 32736822353.281303
3488, 2048, 2.068310, 35366391769.125519
3488, 2048, 1.835593, 39850152926.057137
3488, 2048, 1.900191, 38495425859.821465
3488, 2048, 2.162006, 33833699702.961048
3488, 2048, 1.849721, 39545781098.879234
3488, 2048, 2.039357, 35868492745.507530
3488, 2048, 1.988503, 36785794016.906189
3488, 2048, 1.736419, 42126158352.333168
3488, 2048, 1.664208, 43954038052.935692
3488, 2048, 2.116302, 34564377749.489441
3488, 2048, 2.174091, 33645630178.313606
3488, 2048, 1.822987, 40125717714.937080
3488, 2048, 1.602925, 45634488051.530800
3488, 2048, 1.987315, 36807784251.615875
3488, 2048, 1.619242, 45174632179.748299
3488, 2048, 2.004812, 36486544254.523621
3488, 2048, 1.836924, 39821278267.364357
3488, 2048, 1.579169, 46320983859.232292
3488, 2048, 1.799833, 40641916088.881577
3488, 2048, 1.737763, 42093577639.758705
3488, 2048, 1.864875, 39224431535.625710
3488, 2048, 1.935173, 37799546479.823769
3488, 2048, 1.767296, 41390158615.195190
3488, 2048, 1.611833, 45382283251.428650
3488, 2048, 2.241213, 32637978523.237190
3488, 2048, 1.587278, 46084341722.117989
3488, 2048, 1.706905, 42854559427.736168
3488, 2048, 2.487218, 29409831289.416531
3488, 2048, 1.848346, 39575199535.151970
3488, 2048, 3.433458, 21304661877.326008
3488, 2048, 1.868467, 39149025249.041061
3488, 2048, 2.057206, 35557285833.309837
3488, 2048, 1.723328, 42446163330.486130
3488, 2048, 1.774777, 41215691751.696129
3488, 2048, 1.733954, 42186045166.134743
3488, 2048, 1.731259, 42251714942.709328
3488, 2048, 1.619630, 45163810104.777023
3488, 2048, 1.606381, 45536309107.241676
3488, 2048, 1.550455, 47178835735.316406
3488, 2048, 1.732263, 42227226327.641937
3488, 2048, 1.803891, 40550488782.304474
3488, 2048, 1.599361, 45736179486.682495
3488, 2048, 1.611660, 45387154710.050514
3488, 2048, 1.728811, 42311543459.637871
3488, 2048, 1.781440, 41061535476.917549
3488, 2048, 1.821145, 40166302935.790398
3488, 2048, 1.991852, 36723944228.788086
3488, 2048, 1.548030, 47252741716.891792
3488, 2048, 1.649753, 44339159716.636368
3488, 2048, 2.231806, 32775546691.782349
3488, 2048, 1.719058, 42551596141.607788
3488, 2048, 1.657371, 44135357599.475319
3488, 2048, 2.132548, 34301062278.551292
3488, 2048, 1.849453, 39551511587.480186
3488, 2048, 1.913853, 38220627059.654007
3488, 2048, 1.949135, 37528781618.512825
3488, 2048, 1.693817, 43185693472.199181
3488, 2048, 1.752892, 41730273034.505264
3488, 2048, 1.643658, 44503577848.919907
3488, 2048, 1.762735, 41497253847.004799
3488, 2048, 1.962585, 37271589133.719048
3488, 2048, 2.112540, 34625929809.613068
3488, 2048, 2.095819, 34902184663.847404
3488, 2048, 2.081839, 35136560396.841446
3488, 2048, 2.560722, 28565639596.957420
3488, 2048, 1.727510, 42343408582.294754
3488, 2048, 2.344811, 31195973475.047668
3488, 2048, 1.634503, 44752846437.112686
3488, 2048, 1.815600, 40288974311.522362
3488, 2048, 1.834562, 39872548194.064850
3488, 2048, 1.833337, 39899190252.528587
3488, 2048, 1.628466, 44918752838.560951
3488, 2048, 1.553074, 47099276505.820068
3488, 2048, 2.016873, 36268352920.585480
3488, 2048, 1.809209, 40431294427.564751
3488, 2048, 1.742464, 41980013222.654816
3488, 2048, 1.611052, 45404283511.643326
3488, 2048, 2.495362, 29313847754.353878
3488, 2048, 2.442875, 29943677740.367397
3488, 2048, 1.754896, 41682619232.136833
3488, 2048, 1.976664, 37006118267.950447
3488, 2048, 1.963481, 37254580899.942497
3488, 2048, 2.074726, 35257022739.388237
3488, 2048, 1.485102, 49254974917.547752
3488, 2048, 1.643053, 44519964821.585190
3488, 2048, 1.860474, 39317217956.284256
3488, 2048, 1.793141, 40793591669.589844
3488, 2048, 2.842631, 25732732021.848774
3488, 2048, 2.134207, 34274398762.631741
3488, 2048, 1.867988, 39159064062.510040
3488, 2048, 1.640115, 44599715117.537491
3488, 2048, 2.709277, 26999329252.785889
3488, 2048, 2.165451, 33779873920.028667
3488, 2048, 1.723823, 42433974810.638916
3488, 2048, 1.857141, 39387780335.472641
3488, 2048, 1.711108, 42749295637.680382
3488, 2048, 1.703538, 42939260386.325401
3488, 2048, 2.208848, 33116204356.297943
